Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.00682	0	0.152381
2	0.438231	0	0.0550179
3	0.0788872	0	0.0175485
4	0.0275325	0	0.00740667
5	0.0100562	0	0.00492129
6	0.00709648	0	0.00265944
7	0.00371596	0	0.00159011
8	0.00225909	0	0.000908263
9	0.00128595	0	0.000528188
10	0.000752099	0	0.000304047
11	0.0004338	0	0.000175369
12	0.000251152	0	0.000100828
13	0.000144851	0	5.79223e-05
14	8.3501e-05	0	3.32183e-05
15	4.80467e-05	0	1.90288e-05
16	2.76144e-05	0	1.08875e-05
17	1.58496e-05	0	6.22331e-06
18	9.08611e-06	0	3.55428e-06
19	5.20321e-06	0	2.02862e-06
20	2.97512e-06	0	1.15731e-06
21	1.69991e-06	0	6.60086e-07
22	9.70708e-07	0	3.7649e-07
23	5.53363e-07	0	2.14799e-07
24	3.15483e-07	0	1.22623e-07
25	1.78896e-07	0	7.00658e-08
26	1.02395e-07	0	4.00915e-08
27	5.77486e-08	0	2.29729e-08
28	3.33609e-08	0	1.31951e-08
29	1.88203e-08	0	7.59511e-09
30	1.07368e-08	0	4.38597e-09
