Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.70058	0	0.108026
2	0.178796	0	0.0564966
3	0.110207	0	0.0232739
4	0.0371918	0	0.00822657
5	0.0149973	0	0.00318728
6	0.00774542	0	0.00145964
7	0.00422942	0	0.000754305
8	0.00239877	0	0.000418859
9	0.00140139	0	0.000241601
10	0.000829074	0	0.000141911
11	0.000492864	0	8.40625e-05
12	0.000293683	0	4.99942e-05
13	0.000175203	0	2.97895e-05
14	0.00010458	0	1.77666e-05
15	6.2441e-05	0	1.06008e-05
16	3.72868e-05	0	6.32661e-06
17	2.22677e-05	0	3.7762e-06
18	1.3299e-05	0	2.25408e-06
19	7.94288e-06	0	1.34556e-06
20	4.74407e-06	0	8.03251e-07
21	2.83359e-06	0	4.79527e-07
22	1.69252e-06	0	2.86276e-07
23	1.01098e-06	0	1.70911e-07
24	6.03898e-07	0	1.02038e-07
25	3.60741e-07	0	6.09212e-08
26	2.15495e-07	0	3.63734e-08
27	1.28734e-07	0	2.17175e-08
28	7.69056e-08	0	1.29672e-08
29	4.59447e-08	0	7.7427e-09
30	2.74488e-08	0	4.62328e-09
