Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.04516	0	0.0142118
2	0.0189865	0	0.00463624
3	0.00596296	0	0.00154761
4	0.00199534	0	0.000522059
5	0.000683132	0	0.000178191
6	0.000239794	0	6.20157e-05
7	8.73114e-05	0	2.23591e-05
8	3.36085e-05	0	8.57436e-06
9	1.39876e-05	0	3.6089e-06
10	6.39304e-06	0	1.694e-06
11	3.20214e-06	0	8.73931e-07
12	1.71754e-06	0	4.80291e-07
13	9.64465e-07	0	2.73694e-07
14	5.53298e-07	0	1.59036e-07
15	3.23911e-07	0	9.3377e-08
16	1.92173e-07	0	5.51329e-08
17	1.10639e-07	0	3.26505e-08
18	6.61415e-08	0	1.93679e-08
19	3.92846e-08	0	1.14988e-08
20	2.41689e-08	0	6.82988e-09
21	1.44388e-08	0	4.05755e-09
22	8.58433e-09	0	2.41086e-09
23	5.25816e-09	0	1.43239e-09
24	4.05627e-09	0	8.51097e-10
25	2.55873e-09	0	5.05624e-10
26	1.88171e-09	0	3.00247e-10
27	1.36022e-09	0	1.78433e-10
28	2.30543e-09	0	1.05963e-10
29	2.30956e-09	0	6.29302e-11
30	1.15771e-09	0	3.73807e-11
